Name,Platform,Size,Date,Store,
"Don't Die, Mr. Robot!",PS Vita,213.77MB,6/28/2020,https://store.playstation.com/en-us/product/UP4514-PCSE00559_00-DONTDIEMRROBOTUS,
HISTORY® Legends of War: Patton,PS Vita,1.23GB,6/28/2020,https://store.playstation.com/en-us/product/UP4136-PCSE00254_00-LEGENDSOFWAR0001,
Flame Over,PS Vita,770.68MB,6/28/2020,https://store.playstation.com/en-us/product/UP4132-PCSE00566_00-FLAMEOVERLLJ2014,
Terraria PS Vita,PS Vita,32.21MB,6/28/2020,https://store.playstation.com/en-us/product/UP4040-PCSE00317_00-TERRARIA00000001,
Code: Realize ~Guardian of Rebirth~,PS Vita,3.23GB,6/28/2020,https://store.playstation.com/en-us/product/UP1024-PCSE00763_00-CODEREALIZE00000,
LASER DISCO DEFENDERS,PS Vita,280.14MB,6/28/2020,https://store.playstation.com/en-us/product/UP0809-CUSA05146_00-LASERDISCODEFEND,
Titan Souls,PS Vita,270.55MB,6/28/2020,https://store.playstation.com/en-us/product/UP3643-CUSA01598_00-DEVOTITANSOULS01,
Velocity®2X,PS Vita,700.4MB,6/28/2020,https://store.playstation.com/en-us/product/UP4143-PCSE00374_00-FUTURLABV2XVITA0,
La-Mulana EX,PS Vita,208.98MB,6/28/2020,https://store.playstation.com/en-us/product/UP4034-PCSE00567_00-LAMULANAEX000000,
99Vidas,PS Vita,828.89MB,6/28/2020,https://store.playstation.com/en-us/product/UP2158-PCSE00914_00-99VIDASPSV160328,
TxK,PS Vita,101.64MB,6/28/2020,https://store.playstation.com/en-us/product/UP4461-PCSE00397_00-LLAMASOFTTXK0001,
Draw Slasher,PS Vita,494.74MB,6/28/2020,https://store.playstation.com/en-us/product/UP4396-PCSE00224_00-DRAWSLASHERUS001,
RACE THE SUN ®,PS Vita,107.54MB,6/28/2020,https://store.playstation.com/en-us/product/UP2127-CUSA00708_00-RACETHESUNPS4001,
Kick & Fennick,PS Vita,807.78MB,6/28/2020,https://store.playstation.com/en-us/product/UP4499-PCSE00485_00-KICKANDFENNICKUS,
BADLAND: Game of the Year Edition,PS Vita,125.88MB,6/28/2020,https://store.playstation.com/en-us/product/UP4530-PCSE00573_00-GAMEOFTHEYEAREDI,
Level 22,PS Vita,212.04MB,6/28/2020,https://store.playstation.com/en-us/product/UP4540-PCSE00766_00-LEVEL22GAME00000,
MonsterBag,PS Vita,433.73MB,6/28/2020,https://store.playstation.com/en-us/product/UP9000-PCSA00149_00-MONSTERBAG000000,
Neon Chrome,PS Vita,138.37MB,6/28/2020,https://store.playstation.com/en-us/product/UP4403-PCSE00835_00-NEONCHROME000000,
Lemmings™ Touch,PS Vita,781.19MB,6/28/2020,https://store.playstation.com/en-us/product/UP9000-PCSA00138_00-LEMMINGSTOUCH000,
CastleStorm The Warrior Queen PS Vita,PS Vita,42.64MB,6/28/2020,https://store.playstation.com/en-us/product/UP4042-NPUB50104_00-B000000000000270,
CastleStorm From Outcast to Savior PS Vita,PS Vita,35.33MB,6/28/2020,https://store.playstation.com/en-us/product/UP4042-NPUB50104_00-B000000000000270,
LIMBO PS Vita,PS Vita,127.28MB,6/28/2020,https://store.playstation.com/en-us/product/UP2054-PCSE00268_00-D11PLAYDEADLIMBO,
A Virus Named TOM,PS Vita,585.17MB,6/28/2020,https://store.playstation.com/en-us/product/UP2137-PCSE00501_00-AVNTGAMEBYMISFIT,
Hohokum™ PS Vita,PS Vita,1.4GB,6/28/2020,https://store.playstation.com/en-us/product/UP9000-CUSA00091_00-HOHOKUMGAMEPKG01,
Azkend 2: The World Beneath,PS Vita,58.6MB,6/28/2020,https://store.playstation.com/en-us/product/UP4403-PCSE00861_00-AZKEND2000000000,
Doki-Doki Universe™ PS Vita,PS Vita,493.99MB,6/28/2020,https://store.playstation.com/en-us/product/UP9000-CUSA00036_00-DOKIDLCTHEGAME01,
Claire: Extended Cut,PS Vita,292.99MB,6/28/2020,https://store.playstation.com/en-us/product/UP0312-PCSE00815_00-CLAIREEXTENDEDCU,
Bombing Busters,PS Vita,237.79MB,6/28/2020,https://store.playstation.com/en-us/product/UP4082-CUSA03168_00-BOMBINGBUSTERSP4,
forma.8,PS Vita,433.29MB,6/28/2020,https://store.playstation.com/en-us/product/UP4487-PCSE00797_00-0000000000FORMA8,
Ninja Senki DX,PS Vita,39.96MB,6/28/2020,https://store.playstation.com/en-us/product/UP2114-PCSE00817_00-SHURIKENMASTERDX,
Wipeout 2048,PS Vita,1.6GB,6/28/2020,https://store.playstation.com/en-us/product/UP9000-PCSA00015_00-WIPEOUT2048BASE0,
Tiny Troopers Joint Ops,PS Vita,826.27MB,6/28/2020,https://store.playstation.com/en-us/product/UP4382-CUSA00570_00-TTSPECOPS0000013,
Type:Rider,PS Vita,452.07MB,6/28/2020,https://store.playstation.com/en-us/product/UP1309-PCSE00837_00-TYPERIDERVITAUSA,
Wanted Corp.,PS Vita,1.11GB,6/28/2020,https://store.playstation.com/en-us/product/UP4129-PCSE00036_00-WANTEDCORPNGP000,
Day of the Tentacle Remastered,PS Vita,1.04GB,6/28/2020,https://store.playstation.com/en-us/product/UP2154-PCSE00658_00-DAYOFTHETENTACLE,
Lone Survivor: The Director's Cut PS Vita,PS Vita,204.94MB,6/28/2020,https://store.playstation.com/en-us/product/UP4395-PCSE00301_00-LONESURVIVORDCUT,
PlayStation® All-Stars Battle Royale™  Online Pass,PS Vita,100KB,6/28/2020,https://store.playstation.com/en-us/product/UP9000-PCSA00069_00-PABRRETPSV000000,
Sparkle 2 PS Vita,PS Vita,48.69MB,6/28/2020,https://store.playstation.com/en-us/product/UP4403-NPUB31640_00-SPARKLE2UNLOCK00,
Element4l,PS Vita,438.71MB,6/28/2020,https://store.playstation.com/en-us/product/UP4528-PCSE00610_00-ELEMENT4L10APACK,
Hatoful Boyfriend,PS Vita,1.9GB,6/28/2020,https://store.playstation.com/en-us/product/UP3643-CUSA01957_00-HATOFULBOYFNDPS4,
Ultratron,PS Vita,160.62MB,6/28/2020,https://store.playstation.com/en-us/product/UP4395-NPUB31453_00-DROIDPACKPS3USA0,
Nihilumbra,PS Vita,339.79MB,6/28/2020,https://store.playstation.com/en-us/product/UP4542-PCSE00620_00-000000NIHILUMBRA,
Killzone™: Mercenary,PS Vita,3.01GB,6/28/2020,https://store.playstation.com/en-us/product/UP9000-PCSA00107_00-KZV0000000000000,
Roundabout,PS Vita,1001.25MB,6/28/2020,https://store.playstation.com/en-us/product/UP0476-PCSE00699_00-LETSGOGEORGIO008,
Super Time Force Ultra,PS Vita,1.05GB,6/28/2020,https://store.playstation.com/en-us/product/UP2003-PCSE00698_00-SUPERTIMEFORCEUL,
VVVVVV,PS Vita,58.26MB,6/28/2020,https://store.playstation.com/en-us/product/UP2103-PCSE00492_00-VVVVVVGAMEPSVITA,
WE ARE DOOMED,PS Vita,25.32MB,6/28/2020,https://store.playstation.com/en-us/product/UP2195-CUSA01783_00-WEAREDOOMED00000,
Grim Fandango Remastered,PS Vita,3.07GB,6/28/2020,https://store.playstation.com/en-us/product/UP2154-CUSA01319_00-GRIMFANDANGOPS04,
Woah Dave!,PS Vita,37.99MB,6/28/2020,https://store.playstation.com/en-us/product/UP2148-PCSE00519_00-WOAHDAVE20000000,
King Oddball,PS Vita,20.21MB,6/28/2020,https://store.playstation.com/en-us/product/UP4403-CUSA00461_00-KINGODDBALLPS4US,
PixelJunk Monsters: Ultimate HD,PS Vita,164.56MB,6/28/2020,https://store.playstation.com/en-us/product/UP4415-PCSE00307_00-D11MONSTERSHD000,
Zero Escape: Zero Time Dilemma,PS Vita,987.13MB,6/28/2020,https://store.playstation.com/en-us/product/UP1024-PCSE00781_00-ZEROESCAPE000000,
Stealth Inc 2: A Game of Clones,PS Vita,245.33MB,6/28/2020,https://store.playstation.com/en-us/product/UP4395-NPUB31632_00-STEALTHINC2PS3SC,
Super Mutant Alien Assault,PS Vita,71.77MB,6/28/2020,https://store.playstation.com/en-us/product/UP1360-PCSE01072_00-SMAA000000000001,
Lumo,PS Vita,775.07MB,6/28/2020,https://store.playstation.com/en-us/product/UP4034-PCSE00857_00-LUMO000000000000,
Muramasa Rebirth,PS Vita,449.88MB,6/28/2020,https://store.playstation.com/en-us/product/UP1024-PCSE00240_00-OBOROMURAMASA000,
Letter Quest Remastered,PS Vita,240.85MB,6/28/2020,https://store.playstation.com/en-us/product/UP2187-PCSE00825_00-LETTERQUESTPSV0U,
PlayStation® All-Stars Battle Royale™ PS Vita,PS Vita,1.33GB,6/28/2020,https://store.playstation.com/en-us/product/UP9000-PCSA00069_00-PABRRETPSV000000,
Uncanny Valley,PS Vita,41.71MB,6/28/2020,https://store.playstation.com/en-us/product/UP2187-CUSA03868_00-UNCVALLEYPS4000U,
Titan Attacks!,PS Vita,132.2MB,6/28/2020,https://store.playstation.com/en-us/product/UP4395-PCSE00388_00-TITANPACKVITAUSA,
Curses 'N Chaos,PS Vita,122.17MB,6/28/2020,https://store.playstation.com/en-us/product/UP2114-PCSE00716_00-0000000000000001,
Gravity Rush™,PS Vita,1.42GB,6/28/2020,https://store.playstation.com/en-us/product/UP9000-PCSA00011_00-PDUSAP1648614961,
Geometry Wars™ 3: Dimensions Evolved,PS Vita,71.39MB,6/28/2020,https://store.playstation.com/en-us/product/UP0002-PCSE00655_00-GEOMETRYWARS3PSV,
Burly Men at Sea,PS Vita,302.93MB,6/28/2020,https://store.playstation.com/en-us/product/UP1710-CUSA09109_00-BURLYMENATSEA000,
The Swindle,PS Vita,442.08MB,6/28/2020,https://store.playstation.com/en-us/product/UP4395-PCSE00684_00-THESWINDLEUSAVIT,
Grand Kingdom,PS Vita,1.43GB,6/28/2020,https://store.playstation.com/en-us/product/UP1063-PCSE00879_00-0000000000000000,
Furmins,PS Vita,36.73MB,6/28/2020,https://store.playstation.com/en-us/product/UP4101-PCSE00111_00-B000000000000235,
Entwined™,PS Vita,836.89MB,6/28/2020,https://store.playstation.com/en-us/product/UP9000-CUSA00571_00-ETWPS40000000000,
Futuridium EP Deluxe PS Vita,PS Vita,258.13MB,6/28/2020,https://store.playstation.com/en-us/product/UP4487-PCSE00495_00-FUTURIDIUMEPDUSA,
