Name,Platform,Size,Date,Store,
Concrete Genie,PS4,12138774528,2/2/2021,https://store.playstation.com/en-us/product/UP9000-CUSA11834_00-CONCRETEGENIE000,
AWE,PS4,,2/2/2021,https://store.playstation.com/en-us/product/UP4040-PPSA01949_00-CONTROLUEPS50000,
Control,PS4,24446894080,2/2/2021,https://store.playstation.com/en-us/product/UP4040-PPSA01949_00-CONTROLUEPS50000,
The Foundation,PS4,,2/2/2021,https://store.playstation.com/en-us/product/UP4040-PPSA01949_00-CONTROLUEPS50000,
PlayStation® 2020 Wrap-Up Theme,PS4,27525120,2/2/2021,https://store.playstation.com/en-us/product/UT0016-CUSA06833_00-PS2020WRAPUPTHME,
GreedFall,PS4,10898046976,1/6/2021,https://store.playstation.com/en-us/product/UP4133-CUSA14211_00-GREEDFALL0000000,
Shadow of the Tomb Raider,PS4,30533222400,1/6/2021,https://store.playstation.com/en-us/product/UP0082-CUSA10938_00-SHADOWTOMBRAIDER,
PeacockTV,PS4,117374976,1/4/2021,https://store.playstation.com/en-us/product/UP8862-CUSA20387_00-PEACOCKTVSTPS4US,
Sunset Harbor,PS4,,12/21/2020,https://store.playstation.com/en-us/product/UP4139-CUSA06548_00-CSSUNSETHARBORNA,
HBO Max,PS4,58654720,12/13/2020,https://store.playstation.com/en-us/product/UP2084-CUSA05223_00-HBONOWPS40000000,
Worms Rumble,PS4,2688155648,12/1/2020,https://store.playstation.com/en-us/product/UP4064-PPSA01527_00-6386505284144437,
RocketArena,PS4,8046772224,12/1/2020,https://store.playstation.com/en-us/product/UP0006-CUSA18630_00-ROCKETARENAMATCH,
Just Cause 4,PS4,43538120704,12/1/2020,https://store.playstation.com/en-us/product/UP0082-CUSA09254_00-JC40000000000000,
The Lord of the Rings - Adventure Card Game,PS4,2447048704,11/30/2020,https://store.playstation.com/en-us/product/UP4744-CUSA15785_00-LOTRLCG000000000,
Assassin's Creed Valhalla -  Season Pass Mission,PS4,1114112,11/15/2020,https://store.playstation.com/en-us/product/UP0001-CUSA18522_00-EXPANSIONPASS000,
Assassin's Creed Valhalla - The Way of the Berserker,PS4,1114112,11/15/2020,https://store.playstation.com/en-us/product/UP0001-CUSA18522_00-ULCQUEST00000001,
The Bright Lord,PS4,1048576,11/9/2020,https://store.playstation.com/en-us/product/UP1018-CUSA00102_00-THEBRIGHTLORDDL2,
Captain of the Watch Character Skin,PS4,1572864,10/31/2020,https://store.playstation.com/en-us/product/UP1018-CUSA00102_00-CAPTAINOFBG00001,
Deadly Archer Rune,PS4,1572864,10/31/2020,https://store.playstation.com/en-us/product/UP1018-CUSA00102_00-DEADLYARCHER0001,
Hidden Blade Rune,PS4,1572864,10/31/2020,https://store.playstation.com/en-us/product/UP1018-CUSA00102_00-HIDDENBLADE00001,
Blood Hunters Warband,PS4,1048576,10/31/2020,https://store.playstation.com/en-us/product/UP1018-CUSA00102_00-BLOODYHUNTERS001,
Orc Slayer Rune,PS4,1572864,10/31/2020,https://store.playstation.com/en-us/product/UP1018-CUSA00102_00-ORCSLAYER0000001,
Rising Storm Rune,PS4,1572864,10/31/2020,https://store.playstation.com/en-us/product/UP1018-CUSA00102_00-RISINGSTORM00001,
Berserks Warband,PS4,1048576,10/31/2020,https://store.playstation.com/en-us/product/UP1018-CUSA00102_00-THEBERSERKS00001,
Lord of the Hunt,PS4,1048576,10/31/2020,https://store.playstation.com/en-us/product/UP1018-CUSA00102_00-LORDOFTHEHUNTDL1,
Skull Crushers Warband,PS4,1048576,10/31/2020,https://store.playstation.com/en-us/product/UP1018-CUSA00102_00-SKULLCRUSHERS001,
Flame of Anor Rune,PS4,1572864,10/31/2020,https://store.playstation.com/en-us/product/UP1018-CUSA00102_00-FLAMEOFARNOR0001,
Flesh Burners Warband,PS4,1048576,10/31/2020,https://store.playstation.com/en-us/product/UP1018-CUSA00102_00-FLESHBURNERS0001,
The Dark Ranger Character Skin,PS4,1572864,10/31/2020,https://store.playstation.com/en-us/product/UP1018-CUSA00102_00-DARKRANGER000001,
Test of Wisdom,PS4,1572864,10/31/2020,https://store.playstation.com/en-us/product/UP1018-CUSA00102_00-MESOMSEASONPASS1,
Endless Challenge,PS4,1048576,10/31/2020,https://store.playstation.com/en-us/product/UP1018-CUSA00102_00-MESOMSEASONPASS1,
Test of Speed,PS4,1048576,10/31/2020,https://store.playstation.com/en-us/product/UP1018-CUSA00102_00-MESOMSEASONPASS1,
Guardians of the Flaming Eye,PS4,1572864,10/31/2020,https://store.playstation.com/en-us/product/UP1018-CUSA00102_00-MESOMSEASONPASS1,
Test of Power,PS4,1572864,10/31/2020,https://store.playstation.com/en-us/product/UP1018-CUSA00102_00-MESOMSEASONPASS1,
The Power of Shadow,PS4,1048576,10/31/2020,https://store.playstation.com/en-us/product/UP1018-CUSA00102_00-POWEROFSHADOW001,
Vampyr,PS4,14208139264,10/14/2020,https://store.playstation.com/en-us/product/UP4133-CUSA03293_00-000000VAMPYRGAME,
Need for Speed™ Payback,PS4,19256442880,10/14/2020,https://store.playstation.com/en-us/product/UP0006-CUSA05999_00-NFS1800000000001,
STREET FIGHTER V,PS4,6396248064,10/2/2020,https://store.playstation.com/en-us/product/UP0102-CUSA01200_00-SF5FULLGAME00000,
PLAYERUNKNOWN'S BATTLEGROUNDS,PS4,9999999999999,10/2/2020,https://store.playstation.com/en-us/product/UP5082-CUSA14081_00-PTSBUN0000000000,
PUBG - Public Test Server,PS4,20316422144,10/2/2020,https://store.playstation.com/en-us/product/UP5082-CUSA14081_00-PTSBUN0000000000,
Rocket League® - PlayStation®Plus Pack,PS4,,9/24/2020,https://store.playstation.com/en-us/product/UP2002-CUSA01163_00-RLPSPLUSUS010000,
Fall Guys: Ultimate Knockout,PS4,3949985792,8/31/2020,https://store.playstation.com/en-us/product/UP3643-CUSA17711_00-FALLGUYSPS4US000,
FEZ,PS4,232587264,8/7/2020,https://store.playstation.com/en-us/product/UP4427-PCSE00404_00-FEZTHEGAMEPOLYTR,
Call of Duty®: Modern Warfare® 2 Campaign Remastered,PS4,47569436672,7/29/2020,https://store.playstation.com/en-us/product/UP0002-CUSA09249_00-CODMW2RIGC000001,
Switchblade,PS4,2504654848,7/10/2020,https://store.playstation.com/en-us/product/UP1525-CUSA13114_00-SWITCHBLADE00000,
Rise of the Tomb Raider,PS4,15993929728,7/7/2020,https://store.playstation.com/en-us/product/UP0082-CUSA05794_00-RISEOFTOMBRAIDER,
Erica,PS4,40158953472,7/7/2020,https://store.playstation.com/en-us/product/UP9000-CUSA11655_00-ERICA00000000000,
NBA 2K20,PS4,48632299520,7/7/2020,https://store.playstation.com/en-us/product/UP1001-CUSA16310_00-NBA2K20000000000,
